tier	gwas studies	PGS id	name	other names	GWAS tags	source	note
B	39	FHCRC	Fred Hutchinson Cancer Research Center, Seattle US		FHCRC	PGS + GWAS	
B	39	MAGIC	Meta-Analyses of Glucose and Insulin-related Traits Consortium		MAGIC	PGS + GWAS	
B	39	RAINE	Western Australian Pregnancy Cohort Study		RAINE; Raine	PGS + GWAS	
B	38	PROSPER	Prospective Study of Pravastatin in the Elderly at Risk		PROSPER	PGS + GWAS	
B	37	GenSalt	Genetic Epidemiology Network of Salt-Sensitivity Study		GENSALT; GENSalt; GenSALT; GenSalt	PGS + GWAS	
B	37	MGB	MGB		MGB	PGS + GWAS	
B	36	KP	Kaiser Permanente		KP	PGS + GWAS	
B	35	CPSII	Cancer Prevention Study II (including the Nutrition cohort)		CPSII	PGS + GWAS	
B	35		AoU		AoU	GWAS only	
B	35		Estonia		Estonia	GWAS only	
B	34	MCTFR	Minnesota Center for Twin and Family Research		MCTFR	PGS + GWAS	
B	34	RISC	Relationship between Insulin Sensitivity and Cardiovascular disease		RISC	PGS + GWAS	
B	34		RSI		RSI	GWAS only	
B	33	ABCD	Adolescent Brain Cognitive Development		ABCD	PGS + GWAS	
B	33	SUGAR-MGH	The Study to Understand the Genetics of the Acute Response to Metformin and Glipizide in Humans		SUGAR-MGH	PGS + GWAS	
B	32	CCFR	Colon Cancer Family Registry		CCFR	PGS + GWAS	
B	32	DIACORE	DIAbetes COhoRtE		DIACORE	PGS + GWAS	
B	32	Karolinska	Karolinska Institutet		Karolinska	PGS + GWAS	
B	31	MrOS	Osteoporotic Fractures in Men Study		MrOS	PGS + GWAS	
B	31	PREVEND	Prevention of Renal and Vascular Endstage Disease study		PREVEND	PGS + GWAS	
B	30	EADB	The European Alzheimer’s Disease DNA Biobank dataset		EADB	PGS + GWAS	
B	30	INTERSTROKE	INTERSTROKE		INTERSTROKE	PGS + GWAS	
B	30	SWHS	Shanghai Womens Health Study		SWHS	PGS + GWAS	
B	30		MHIphase2		MHIphase2	GWAS only	
B	30		SHIPNATREND		SHIPNATREND	GWAS only (candidate COHO:0000202 Study of Health in Pomerania)	
B	30		MHIphase1		MHIphase1	GWAS only	
B	29	DACHS	Darmkrebs: Chancen der Verhütung durch Screening		DACHS	PGS + GWAS	
B	28	BRIGHT	British Genetics of Hypertension study		BRIGHT	PGS + GWAS	
B	28	GIANT	Genetic Investigation of ANthropometric Traits (GIANT) consortium		GIANT	PGS + GWAS	
